file,class,method,variable,usage
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,"getValidInput/2[java.io.Console,java.lang.String]",ex,0
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,"getValidInput/2[java.io.Console,java.lang.String]",noValidInput,3
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-substract/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/substract/Substract.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.substract.Substract,"calculate/2[java.lang.Integer,java.lang.Integer]",input,1
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-substract/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/substract/Substract.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.substract.Substract,"calculate/2[java.lang.Integer,java.lang.Integer]",input2,1
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-add/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/add/Add.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.add.Add,"calculate/2[java.lang.Integer,java.lang.Integer]",input,1
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-add/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/add/Add.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.add.Add,"calculate/2[java.lang.Integer,java.lang.Integer]",input2,1
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-api/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/api/Algorithm.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.api.Algorithm,"calculate/2[java.lang.Integer,java.lang.Integer]",input,0
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-api/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/api/Algorithm.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.api.Algorithm,"calculate/2[java.lang.Integer,java.lang.Integer]",input2,0
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous1,"updateItem/2[Algorithm,boolean]",item,3
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous1,"updateItem/2[Algorithm,boolean]",empty,2
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous2,fromString/1[java.lang.String],alString,0
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous2,toString/1[nl.frisodobber.java9.jigsaw.calculator.algorithm.api.Algorithm],al,2
